Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut. 
"Sat, 22 Feb 2014",6N,3 , v IRE,13-10,1:1,4-1,"Twickenham, London", 
"Sat, 08 Mar 2014",6N,4 , v ITA,46-7,7:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 08 Mar 2014",6N,4 ,SCO v ,17-19,2:1,1-4,"Murrayfield, Edinburgh", 
"Sun, 09 Mar 2014",6N,4 , v WAL,29-18,2:0,4-0,"Twickenham, London", 
"Sat, 15 Mar 2014",6N,5 ,ITA v ,11-52,1:7,0-5,"Olympic Stadium, Rome", 
"Sat, 15 Mar 2014",6N,5 , v SCO,51-3,7:0,5-0,"Millennium Stadium, Cardiff", 
"Sat, 15 Mar 2014",6N,5 ,FRA v ,20-22,2:3,1-4,"Stade de France, Paris", 
"Sat, 07 Jun 2014",ST,1 , v FRA,50-23,7:2,5-0,"Suncorp Stadium, Brisbane", 
"Sat, 07 Jun 2014",ST, , v ITA,25-14,3:2,4-0,"National Stadium, Suva", 
"Sat, 07 Jun 2014",ST, ,USA v ,6-24,0:2,0-4,Houston, 
"Sat, 07 Jun 2014",ST,1 ,ARG v ,17-29,2:3,0-4,Resistencia, 
"Sat, 07 Jun 2014","ST,HS",n , v ENG,20-15,1:0,4-1,"Eden Park, Auckland", 
"Sat, 14 Jun 2014",ST,2 , v FRA,6-0,0:0,4-1,"Colonial Stadium, Melbourne", 
"Sat, 14 Jun 2014",ST, , v ITA,15-0,0:0,4-0,Apia, 
"Sat, 14 Jun 2014",ST,2 ,ARG v ,17-23,2:2,1-4,Tucuman, 
"Sat, 14 Jun 2014",ST, ,CAN v ,17-19,1:1,1-4,"BMO Field, Toronto", 
"Sat, 14 Jun 2014",ST,1 , v WAL,38-16,5:1,5-0,"Kings Park Stadium, Durban", 
"Sat, 14 Jun 2014","ST,HS",n , v ENG,28-27,3:3,4-1,"Otago Stadium, Dunedin", 
"Sat, 21 Jun 2014",ST,3 , v FRA,39-13,5:1,5-0,"Stadium Australia, Sydney", 
"Sat, 21 Jun 2014",ST, , v ITA,26-23,2:2,4-1,"Prince Chichibu Stadium, Tokyo", 
"Sat, 21 Jun 2014",ST, ,ARG v ,19-21,2:2,1-4,Cordoba, 
"Sat, 21 Jun 2014",ST,2 , v WAL,31-30,4:3,5-1,"Mbombela Stadium, Nelspruit", 
"Sat, 21 Jun 2014","ST,HS",n , v ENG,36-13,5:1,5-0,"Waikato Stadium, Hamilton", 
"Sat, 28 Jun 2014",ST, , v SCO,55-6,8:0,5-0,"N. Mandela Bay, Pt Elizabeth", 
"Sat, 16 Aug 2014","RC,BC",n ,AUS v NZL,12-12,0:0,2-2,"Stadium Australia, Sydney", 
"Sat, 16 Aug 2014",RC, , v ARG,13-6,1:0,4-1,"Loftus Versfeld, Pretoria", 
"Sat, 23 Aug 2014","RC,BC",n , v AUS,51-20,6:2,5-0,"Eden Park, Auckland", 
"Sat, 23 Aug 2014",RC, ,ARG v ,31-33,3:3,1-4,Salta, 
"Sat, 06 Sep 2014","RC,MP",s , v SAF,24-23,2:1,4-1,"Subiaco Oval, Perth_AUS", 
"Sat, 06 Sep 2014",RC, , v ARG,28-9,4:0,5-0,Napier, 
"Sat, 13 Sep 2014",RC, , v ARG,32-25,3:3,4-1,"Skilled Park, Gold Coast", 
"Sat, 13 Sep 2014","RC,FC",n , v SAF,14-10,1:1,4-1,"Westpac Trust, Wellington", 
"Sat, 27 Sep 2014","RC,MP",s , v AUS,28-10,4:1,5-0,"Newlands, Cape Town", 
"Sat, 27 Sep 2014",RC, ,ARG v ,13-34,1:4,0-5,La Plata, 
"Sat, 04 Oct 2014","RC,FC",n , v NZL,27-25,3:3,4-1,"Ellis Park, Johannesburg", 
"Sat, 04 Oct 2014",RC, , v AUS,21-17,2:2,4-1,Mendoza, 
"Sat, 18 Oct 2014",BC,n ,AUS v ,28-29,3:4,1-5,"Suncorp Stadium, Brisbane", 
"Sat, 01 Nov 2014",AI, ,USA v ,6-74,0:12,0-5,Chicago, 
"Fri, 07 Nov 2014",AI, , v NAM,17-13,1:1,4-1,Colwyn Bay,Y
"Sat, 08 Nov 2014","AI,HS",n ,ENG v ,21-24,2:3,1-4,"Twickenham, London", 
"Sat, 08 Nov 2014",AI, , v ARG,41-31,5:4,5-1,"Murrayfield, Edinburgh", 
"Sat, 08 Nov 2014",AI, ,WAL v ,28-33,4:3,2-4,"Millennium Stadium, Cardiff", 
"Sat, 08 Nov 2014",AI, , v SAM,24-13,2:1,4-0,Ascoli Piceno, 
"Sat, 08 Nov 2014",AI, ,GEO v ,9-23,0:3,0-4,Tbilisi, 
"Sat, 08 Nov 2014", ,R['USA'],17-27,2:3,0-4,Bucharest, 
"Sat, 08 Nov 2014",AI, , v SAF,29-15,2:2,4-0,"Lansdowne Rd, Dublin", 
"Sat, 08 Nov 2014",AI, , v FIJ,40-15,5:2,5-0,Marseille, 
"Fri, 14 Nov 2014",AI, ,CAN v ,13-23,1:2,0-4,Vannes,Y
"Sat, 15 Nov 2014",AI, , v FIJ,17-13,3:1,4-1,"Millennium Stadium, Cardiff", 
"Sat, 15 Nov 2014",AI, ,SCO v ,16-24,1:2,0-4,"Murrayfield, Edinburgh", 
"Sat, 15 Nov 2014",AI, , v AUS,29-26,2:2,4-1,"Stade de France, Paris", 
"Sat, 15 Nov 2014",AI, ,ENG v ,28-31,3:3,1-4,"Twickenham, London", 
"Sat, 15 Nov 2014",AI, ,ITA v ,18-20,0:2,1-4,Genoa, 
"Sat, 15 Nov 2014", ,[ v JAP,18-13,0:1,4-1,Bucharest, 
"Sat, 15 Nov 2014",AI, ,USA v ,12-40,2:5,0-5,"Kingsholm Stadium, Gloucester",Y
"Sun, 16 Nov 2014",AI, , v GEO,49-7,6:1,5-0,"Lansdowne Rd, Dublin", 
"Fri, 21 Nov 2014",AI, ,USA v ,14-20,2:3,1-4,Vannes,Y
"Sat, 22 Nov 2014",AI, , v SAM,28-9,3:0,4-0,"Twickenham, London", 
"Sat, 22 Nov 2014",AI, , v TON,37-12,5:0,5-0,"Rugby Park, Kilmarnock", 
"Sat, 22 Nov 2014",AI, ,ITA v ,6-22,0:3,0-4,Padua, 
"Sat, 22 Nov 2014",AI, , v NAM,29-20,4:2,5-0,Lisbon, 
"Sat, 22 Nov 2014",AI, , v AUS,26-23,2:3,4-1,"Lansdowne Rd, Dublin", 
"Sat, 22 Nov 2014",AI, ,WAL v ,16-34,1:5,0-5,"Millennium Stadium, Cardiff", 
"Sat, 22 Nov 2014", ,[ v CAN,18-9,0:0,4-0,Bucharest, 
"Sat, 22 Nov 2014",AI, ,FRA v ,13-18,1:0,1-4,"Stade de France, Paris", 
"Sun, 23 Nov 2014", ,[ v JAP,35-24,5:3,5-0,Tbilisi, 
"Sat, 29 Nov 2014","AI,CC",e , v AUS,26-17,2:2,4-0,"Twickenham, London", 
"Sat, 29 Nov 2014",AI, , v SAF,12-6,0:0,4-1,"Millennium Stadium, Cardiff", 
"Fri, 06 Feb 2015",6N,1 ,WAL v ,16-21,1:2,1-4,"Millennium Stadium, Cardiff", 
"Sat, 07 Feb 2015",6N,1 ,ITA v ,3-26,0:2,0-4,"Olympic Stadium, Rome", 
"Sat, 07 Feb 2015",6N,1 , v SCO,15-8,0:1,4-1,"Stade de France, Paris", 
"Sat, 14 Feb 2015",6N,2 , v ITA,47-17,6:3,5-0,"Twickenham, London", 
"Sat, 14 Feb 2015",6N,2 , v FRA,18-11,0:1,4-1,"Lansdowne Rd, Dublin", 
"Sun, 15 Feb 2015",6N,2 ,SCO v ,23-26,2:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 28 Feb 2015",6N,3 ,SCO v ,19-22,1:3,1-4,"Murrayfield, Edinburgh", 
"Sat, 28 Feb 2015",6N,3 ,FRA v ,13-20,1:1,1-4,"Stade de France, Paris", 
"Sun, 01 Mar 2015",6N,3 , v ENG,19-9,1:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 14 Mar 2015",6N,4 , v IRE,23-16,1:1,4-1,"Millennium Stadium, Cardiff", 
"Sat, 14 Mar 2015","6N,CA",4 , v SCO,25-13,3:1,4-0,"Twickenham, London", 
"Sun, 15 Mar 2015",6N,4 ,ITA v ,0-29,0:2,0-4,"Olympic Stadium, Rome", 
"Sat, 21 Mar 2015",6N,5 ,ITA v ,20-61,2:8,0-5,"Olympic Stadium, Rome", 
"Sat, 21 Mar 2015",6N,5 ,SCO v ,10-40,1:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 21 Mar 2015",6N,5 , v FRA,55-35,7:5,5-1,"Twickenham, London", 
"Wed, 08 Jul 2015", ,S['NZL'],16-25,1:1,0-0,Apia, 
"Fri, 17 Jul 2015",RC, , v ARG,39-18,5:2,5-0,"Rugby League Pk, Christchurch", 
"Sat, 18 Jul 2015","RC,MP",A , v SAF,24-20,3:2,4-1,"Suncorp Stadium, Brisbane", 
"Sat, 25 Jul 2015",RC, ,ARG v ,9-34,0:4,0-5,Mendoza, 
"Sat, 25 Jul 2015","RC,FC", ,SAF v ,20-27,2:3,1-4,"Ellis Park, Johannesburg", 
"Sat, 08 Aug 2015","RC,BC",n , v NZL,27-19,3:2,4-0,"Stadium Australia, Sydney", 
"Sat, 08 Aug 2015",RC, ,SAF v ,25-37,3:4,0-5,"Kings Park Stadium, Durban", 
"Sat, 08 Aug 2015",WU, ,WAL v ,21-35,3:5,0-5,"Millennium Stadium, Cardiff", 
"Sat, 15 Aug 2015",WU, ,ARG v ,12-26,0:2,0-4,"Velez Sarsfield, Buenos Aires", 
"Sat, 15 Aug 2015",WU, , v SCO,28-22,4:3,5-1,"Lansdowne Rd, Dublin", 
"Sat, 15 Aug 2015",BC,n , v AUS,41-13,5:1,5-0,"Eden Park, Auckland", 
"Sat, 15 Aug 2015",WU, , v FRA,19-14,3:1,4-1,"Twickenham, London", 
"Sat, 22 Aug 2015",WU, ,ITA v ,12-16,0:1,1-4,Torino, 
"Sat, 22 Aug 2015",WU, , v ENG,25-20,1:2,4-1,"Stade de France, Paris", 
"Sat, 29 Aug 2015",WU, ,IRE v ,10-16,1:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 29 Aug 2015",WU, , v ITA,48-7,6:1,5-0,"Murrayfield, Edinburgh", 
"Sat, 05 Sep 2015",WU, , v IRE,21-13,2:1,4-0,"Twickenham, London", 
"Sat, 05 Sep 2015",WU, , v ITA,23-19,1:2,4-1,"Millennium Stadium, Cardiff", 
"Sat, 05 Sep 2015",WU, , v SCO,19-16,1:1,4-1,"Stade de France, Paris", 
"Sat, 05 Sep 2015",WU, ,USA v ,10-47,1:7,0-5,Chicago, 
"Fri, 18 Sep 2015",WC,P['ENG'], v FIJ,35-11,4:1,5-0,"Twickenham, London", 
"Sat, 19 Sep 2015",WC,P['GEO'],TON v ,10-17,1:2,1-4,"Kingsholm Stadium, Gloucester",Y
"Sat, 19 Sep 2015",WC,P['JAP'],SAF v ,32-34,4:3,2-4,Brighton Community Stadium,Y
"Sat, 19 Sep 2015",WC,P['IRE'], v CAN,50-7,7:1,5-0,"Millennium Stadium, Cardiff",Y
"Sat, 19 Sep 2015",WC,P['FRA'], v ITA,32-10,2:1,4-0,"Twickenham, London",Y
"Sun, 20 Sep 2015",WC,P['SAM'], v USA,25-16,2:2,4-0,Brighton Community Stadium,Y
"Sun, 20 Sep 2015",WC,P['NZL'], v ARG,26-16,2:1,4-0,"Wembley Stadium, London",Y
"Sun, 20 Sep 2015",WC,P['WAL'], v URU,54-9,8:0,5-0,"Millennium Stadium, Cardiff", 
"Wed, 23 Sep 2015",WC,P['AUS'], v FIJ,28-13,3:1,4-0,"Millennium Stadium, Cardiff",Y
"Wed, 23 Sep 2015",WC,P['SCO'], v JAP,45-10,5:1,5-0,"Kingsholm Stadium, Gloucester",Y
"Wed, 23 Sep 2015",WC,P['FRA'], v ROM,38-11,5:1,5-0,"Olympic Stadium, London",Y
"Thu, 24 Sep 2015",WC,P['NZL'], v NAM,58-14,9:1,5-0,"Olympic Stadium, London",Y
"Fri, 25 Sep 2015",WC,P['ARG'], v GEO,54-9,7:0,5-0,"Kingsholm Stadium, Gloucester",Y
"Sat, 26 Sep 2015",WC,P['SAF'], v SAM,46-6,6:0,5-0,"Villa Park, Birmingham",Y
"Sat, 26 Sep 2015",WC,P['ITA'], v CAN,23-18,2:2,4-1,"Elland Road, Leeds",Y
"Sat, 26 Sep 2015",WC,P['WAL'],ENG v ,25-28,1:1,1-4,"Twickenham, London", 
"Sun, 27 Sep 2015",WC,P['AUS'], v URU,65-3,11:0,5-0,"Villa Park, Birmingham",Y
"Sun, 27 Sep 2015",WC,P['SCO'], v USA,39-16,5:1,5-0,"Elland Road, Leeds",Y
"Sun, 27 Sep 2015",WC,P['IRE'], v ROM,44-10,6:1,5-0,"Wembley Stadium, London",Y
"Tue, 29 Sep 2015",WC,P['TON'], v NAM,35-21,5:3,5-0,"Sandy Park, Exeter",Y
"Thu, 01 Oct 2015",WC,P['WAL'], v FIJ,23-13,2:1,4-0,"Millennium Stadium, Cardiff", 
"Thu, 01 Oct 2015",WC,P['FRA'], v CAN,41-18,5:2,5-0,"Stadiummk, Milton Keynes",Y
"Fri, 02 Oct 2015",WC,P['NZL'], v GEO,43-10,7:1,5-0,"Millennium Stadium, Cardiff",Y
"Sat, 03 Oct 2015",WC,P['SAF'], v SCO,34-16,3:1,4-0,"St James Park, Newcastle",Y
"Sat, 03 Oct 2015",WC,P['JAP'],SAM v ,5-26,1:1,0-4,"Stadiummk, Milton Keynes",Y
"Sat, 03 Oct 2015",WC,P['AUS'],ENG v ,13-33,1:3,0-4,"Twickenham, London", 
"Sun, 04 Oct 2015",WC,P['IRE'], v ITA,16-9,1:0,4-1,"Olympic Stadium, London",Y
"Sun, 04 Oct 2015",WC,P['ARG'], v TON,45-16,5:2,5-0,"Leicester City, Leicester",Y
"Tue, 06 Oct 2015",WC,P['ROM'],CAN v ,15-17,2:2,1-4,"Leicester City, Leicester",Y
"Tue, 06 Oct 2015",WC,P['FIJ'], v URU,47-15,7:2,5-0,"Stadiummk, Milton Keynes",Y
"Wed, 07 Oct 2015",WC,P['SAF'], v USA,64-0,10:0,5-0,"Olympic Stadium, London",Y
"Wed, 07 Oct 2015",WC,P['GEO'],NAM v ,16-17,1:2,1-4,"Sandy Park, Exeter",Y
"Fri, 09 Oct 2015",WC,P['NZL'], v TON,47-9,7:0,5-0,"St James Park, Newcastle",Y
"Sat, 10 Oct 2015",WC,P['AUS'], v WAL,15-6,0:0,4-0,"Twickenham, London",Y
"Sat, 10 Oct 2015",WC,P['SCO'], v SAM,36-33,3:4,4-2,"St James Park, Newcastle",Y
"Sat, 10 Oct 2015",WC,P['ENG'], v URU,60-3,10:0,5-0,Manchester City Stadium, 
"Sun, 11 Oct 2015",WC,P['ARG'], v NAM,64-19,9:2,5-0,"Leicester City, Leicester",Y
"Sun, 11 Oct 2015",WC,P['IRE'],FRA v ,9-24,0:2,0-4,"Millennium Stadium, Cardiff",Y
"Sun, 11 Oct 2015",WC,P['ITA'], v ROM,32-22,4:3,5-0,"Sandy Park, Exeter",Y
"Sun, 11 Oct 2015",WC,P['JAP'],USA v ,18-28,2:3,0-4,"Kingsholm Stadium, Gloucester",Y
"Sat, 17 Oct 2015",WC,Q['SAF'], v WAL,23-19,1:1,4-1,"Twickenham, London",Y
"Sat, 17 Oct 2015",WC,Q['NZL'], v FRA,62-13,9:1,5-0,"Millennium Stadium, Cardiff",Y
"Sun, 18 Oct 2015",WC,Q['ARG'],IRE v ,20-43,2:4,0-5,"Millennium Stadium, Cardiff",Y
"Sun, 18 Oct 2015",WC,Q['AUS'], v SCO,35-34,5:3,5-1,"Twickenham, London",Y
"Sat, 24 Oct 2015",WC,Semi , v SAF,20-18,2:0,4-1,"Twickenham, London",Y
"Sun, 25 Oct 2015",WC,Semi , v ARG,29-15,4:0,5-0,"Twickenham, London",Y
"Fri, 30 Oct 2015",WC,3&4 , v ARG,24-13,2:1,4-0,"Olympic Stadium, London",Y
"Sat, 31 Oct 2015",WC,F['NZL'], v AUS,34-17,3:2,4-0,"Twickenham, London",Y
"Sat, 06 Feb 2016",6N,1 , v ITA,23-21,3:2,4-1,"Stade de France, Paris", 
"Sat, 06 Feb 2016","6N,CA",1 ,SCO v ,9-15,0:2,1-4,"Murrayfield, Edinburgh", 
"Sun, 07 Feb 2016",6N,1 ,IRE v WAL,16-16,1:1,2-2,"Lansdowne Rd, Dublin", 
"Sat, 13 Feb 2016",6N,2 , v IRE,10-9,1:0,4-1,"Stade de France, Paris", 
"Sat, 13 Feb 2016",6N,2 , v SCO,27-23,3:2,4-1,"Millennium Stadium, Cardiff", 
"Sun, 14 Feb 2016",6N,2 ,ITA v ,9-40,0:5,0-5,"Olympic Stadium, Rome", 
"Fri, 26 Feb 2016",6N,3 , v FRA,19-10,1:1,4-0,"Millennium Stadium, Cardiff", 
"Sat, 27 Feb 2016",6N,3 ,ITA v ,20-36,2:3,0-4,"Olympic Stadium, Rome", 
"Sat, 27 Feb 2016",6N,3 , v IRE,21-10,2:1,4-0,"Twickenham, London", 
"Sat, 12 Mar 2016",6N,4 , v ITA,58-15,9:2,5-0,"Lansdowne Rd, Dublin", 
"Sat, 12 Mar 2016",6N,4 , v WAL,25-21,1:3,4-1,"Twickenham, London", 
"Sun, 13 Mar 2016",6N,4 , v FRA,29-18,3:2,4-0,"Murrayfield, Edinburgh", 
"Sat, 19 Mar 2016",6N,5 , v ITA,67-14,9:2,5-0,"Millennium Stadium, Cardiff", 
"Sat, 19 Mar 2016",6N,5 , v SCO,35-25,4:3,5-0,"Lansdowne Rd, Dublin", 
"Sat, 19 Mar 2016",6N,5 ,FRA v ,21-31,0:3,0-4,"Stade de France, Paris", 
"Sun, 29 May 2016", ,[ v WAL,27-13,5:1,5-0,"Twickenham, London", 
"Sat, 11 Jun 2016","ST,CC",1 ,AUS v ,28-39,4:3,1-4,"Suncorp Stadium, Brisbane", 
"Sat, 11 Jun 2016",ST, , v ITA,30-24,2:2,4-1,Sante Fe, 
"Sat, 11 Jun 2016",ST,1 ,SAF v ,20-26,2:2,1-4,"Newlands, Cape Town", 
"Sat, 11 Jun 2016",ST,1 , v WAL,39-21,5:2,5-0,"Eden Park, Auckland", 
"Sat, 18 Jun 2016","ST,CC",2 ,AUS v ,7-23,1:2,0-4,"AAMI Park, Melbourne", 
"Sat, 18 Jun 2016",ST, ,USA v ,20-24,2:2,1-4,San Jose, 
"Sat, 18 Jun 2016",ST,2 , v IRE,32-26,4:2,5-1,"Ellis Park, Johannesburg", 
"Sat, 18 Jun 2016",ST,1 ,JAP v ,13-26,1:2,0-4,"Toyota Stadium, Aichi", 
"Sat, 18 Jun 2016",ST,2 , v WAL,36-22,5:3,5-0,"Westpac Trust, Wellington", 
"Sun, 19 Jun 2016",ST,1 , v FRA,30-19,3:1,4-0,Tucuman, 
"Sat, 25 Jun 2016","ST,CC",3 ,AUS v ,40-44,5:4,2-5,"Football Stadium, Sydney", 
"Sat, 25 Jun 2016",ST,2 ,ARG v ,0-27,0:3,0-4,Tucuman, 
"Sat, 25 Jun 2016",ST,3 , v IRE,19-13,1:1,4-1,"N. Mandela Bay, Pt Elizabeth", 
"Sat, 25 Jun 2016",ST,2 ,JAP v ,16-21,1:0,1-4,"Ajinimoto Stadium, Tokyo", 
"Sat, 25 Jun 2016",ST,3 , v WAL,46-6,6:0,5-0,"Otago Stadium, Dunedin", 
"Sun, 26 Jun 2016",ST, ,CAN v ,18-20,0:1,1-4,"BMO Field, Toronto", 
"Sat, 20 Aug 2016",RC, , v ARG,30-23,3:2,4-1,"Mbombela Stadium, Nelspruit", 
"Sat, 20 Aug 2016","RC,BC",n ,AUS v ,8-42,1:6,0-5,"Stadium Australia, Sydney", 
"Sat, 27 Aug 2016",RC, , v SAF,26-24,2:2,4-1,Salta, 
"Sat, 27 Aug 2016","RC,BC",n , v AUS,29-9,4:0,5-0,"Westpac Trust, Wellington", 
"Sat, 10 Sep 2016","RC,MP",a , v SAF,23-17,2:2,4-1,"Suncorp Stadium, Brisbane", 
"Sat, 10 Sep 2016",RC, , v ARG,57-22,8:1,5-0,"Waikato Stadium, Hamilton", 
"Sat, 17 Sep 2016",RC, , v ARG,36-20,5:2,5-0,Perth Oval, 
"Sat, 17 Sep 2016","RC,FC",n , v SAF,41-13,6:1,5-0,"Rugby League Pk, Christchurch", 
"Sat, 01 Oct 2016","RC,MP",a , v AUS,18-10,0:1,4-0,"Loftus Versfeld, Pretoria", 
"Sat, 01 Oct 2016",RC, ,ARG v ,17-36,2:5,0-5,"River Plate, Buenos Aires", 
"Sat, 08 Oct 2016","RC,FC",n ,SAF v ,15-57,0:9,0-5,"Kings Park Stadium, Durban", 
"Sat, 08 Oct 2016",RC, ,ARG v ,21-33,2:4,0-5,"Twickenham, London",Y
"Sat, 22 Oct 2016",BC,n , v AUS,37-10,6:1,5-0,"Eden Park, Auckland", 
"Sat, 05 Nov 2016",AI,1 ,NZL v ,29-40,4:5,1-5,Chicago,Y
"Sat, 05 Nov 2016",AI, ,WAL v ,8-32,1:5,0-5,"Millennium Stadium, Cardiff", 
"Sat, 05 Nov 2016",AI, ,JAP v ,20-54,2:7,0-5,"Prince Chichibu Stadium, Tokyo", 
"Sat, 12 Nov 2016",AI, ,ITA v ,10-68,1:10,0-5,"Olympic Stadium, Rome", 
"Sat, 12 Nov 2016","AI,HC", ,SCO v ,22-23,3:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 12 Nov 2016",AI, , v SAM,52-8,6:1,5-0,Stade Toulouse, 
"Sat, 12 Nov 2016",AI, , v SAF,37-21,4:2,5-0,"Twickenham, London", 
"Sat, 12 Nov 2016",AI, , v CAN,52-21,8:3,5-0,"Lansdowne Rd, Dublin", 
"Sat, 12 Nov 2016",AI, , v ARG,24-20,2:2,4-1,"Millennium Stadium, Cardiff", 
"Sat, 19 Nov 2016",AI,2 ,IRE v ,9-21,0:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 19 Nov 2016",AI, ,FRA v ,23-25,3:3,1-4,"Stade de France, Paris", 
"Sat, 19 Nov 2016",AI, , v ARG,19-16,1:1,4-1,"Murrayfield, Edinburgh", 
"Sat, 19 Nov 2016",AI, , v SAF,20-18,2:2,4-1,Florence, 
"Sat, 19 Nov 2016",AI, , v JAP,33-30,3:3,4-1,"Millennium Stadium, Cardiff", 
"Sat, 19 Nov 2016",AI, , v FIJ,58-15,9:3,5-0,"Twickenham, London", 
"Sat, 26 Nov 2016",AI, ,ITA v ,17-19,2:1,1-4,Padua, 
"Sat, 26 Nov 2016",AI, , v ARG,27-14,2:2,4-0,"Twickenham, London", 
"Sat, 26 Nov 2016",AI, , v GEO,43-16,6:2,5-0,"Rugby Park, Kilmarnock", 
"Sat, 26 Nov 2016",AI, , v AUS,27-24,3:3,4-1,"Lansdowne Rd, Dublin", 
"Sat, 26 Nov 2016",AI, , v SAF,27-13,2:1,4-0,"Millennium Stadium, Cardiff", 
"Sat, 26 Nov 2016","AI,DG", ,FRA v ,19-24,1:3,1-4,"Stade de France, Paris", 
"Sat, 03 Dec 2016","AI,CC",e , v AUS,37-21,4:2,5-0,"Twickenham, London", 
"Sat, 04 Feb 2017",6N,1 , v IRE,27-22,3:3,4-1,"Murrayfield, Edinburgh", 
"Sat, 04 Feb 2017",6N,1 , v FRA,19-16,1:1,4-1,"Twickenham, London", 
"Sun, 05 Feb 2017",6N,1 ,ITA v ,7-33,1:3,0-4,"Olympic Stadium, Rome", 
"Sat, 11 Feb 2017",6N,2 ,ITA v ,10-63,1:9,0-5,"Olympic Stadium, Rome", 
"Sat, 11 Feb 2017",6N,2 ,WAL v ,16-21,1:2,1-4,"Millennium Stadium, Cardiff", 
"Sun, 12 Feb 2017",6N,2 , v SCO,22-16,1:2,4-1,"Stade de France, Paris", 
"Sat, 25 Feb 2017",6N,3 , v WAL,29-13,2:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 25 Feb 2017",6N,3 , v FRA,19-9,1:0,4-0,"Lansdowne Rd, Dublin", 
"Sun, 26 Feb 2017",6N,3 , v ITA,36-15,5:2,5-0,"Twickenham, London", 
"Fri, 10 Mar 2017",6N,4 , v IRE,22-9,3:0,4-0,"Millennium Stadium, Cardiff", 
"Sat, 11 Mar 2017",6N,4 ,ITA v ,18-40,2:4,0-5,"Olympic Stadium, Rome", 
"Sat, 11 Mar 2017","6N,CA",4 , v SCO,61-21,7:3,5-0,"Twickenham, London", 
"Sat, 18 Mar 2017",6N,5 , v ITA,29-0,4:0,5-0,"Murrayfield, Edinburgh", 
"Sat, 18 Mar 2017",6N,5 , v WAL,20-18,2:0,4-1,"Stade de France, Paris", 
"Sat, 18 Mar 2017",6N,5 , v ENG,13-9,1:0,4-1,"Lansdowne Rd, Dublin", 
"Sat, 10 Jun 2017", ,[ v ROM,33-21,3:2,4-0,Kumamoto Stadium, 
"Sat, 10 Jun 2017", ,[ v FIJ,37-14,5:2,5-0,"AAMI Park, Melbourne", 
"Sat, 10 Jun 2017", ,C['GEO'],0-13,0:1,0-4,Calgary, 
"Sat, 10 Jun 2017", ,U['IRE'],19-55,3:9,0-5,"Harrison, New Jersey", 
"Sat, 10 Jun 2017",ST,1 ,ARG v ,34-38,4:4,2-5,San Juan, 
"Sat, 10 Jun 2017",ST,1 , v FRA,37-14,4:2,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 10 Jun 2017", ,I['SCO'],13-34,2:5,0-5,"National Stadium, Kallang",Y
"Fri, 16 Jun 2017", ,T['WAL'],6-24,0:2,0-4,"Eden Park, Auckland",Y
"Fri, 16 Jun 2017", ,[ v SAM,78-0,12:0,5-0,"Eden Park, Auckland", 
"Sat, 17 Jun 2017",ST, ,JAP v ,22-50,3:7,0-5,Shizuoka Stadium ECOPA, 
"Sat, 17 Jun 2017", ,[ v ITA,22-19,3:1,4-1,"National Stadium, Suva", 
"Sat, 17 Jun 2017","ST,HC", ,AUS v ,19-24,3:3,1-4,"Football Stadium, Sydney", 
"Sat, 17 Jun 2017", ,C['ROM'],9-25,0:3,0-4,Edmonton, 
"Sat, 17 Jun 2017",ST,2 ,ARG v ,25-35,3:4,0-5,Sante Fe, 
"Sat, 17 Jun 2017",ST,2 , v FRA,37-15,4:2,5-0,"Kings Park Stadium, Durban", 
"Sat, 17 Jun 2017", ,U['GEO'],17-21,2:2,1-4,"Kennesaw, Georgia", 
"Fri, 23 Jun 2017", ,S['WAL'],17-19,2:2,1-4,Apia, 
"Sat, 24 Jun 2017", ,[ v SCO,27-22,2:3,4-1,"National Stadium, Suva", 
"Sat, 24 Jun 2017", ,J['IRE'],13-35,2:5,0-5,"Ajinimoto Stadium, Tokyo", 
"Sat, 24 Jun 2017",ST, , v ITA,40-27,6:3,5-0,"Suncorp Stadium, Brisbane", 
"Sat, 24 Jun 2017",ST, , v GEO,45-29,5:4,5-1,Jujuy, 
"Sat, 24 Jun 2017",ST,3 , v FRA,35-12,4:0,5-0,"Ellis Park, Johannesburg", 
"Sat, 24 Jun 2017",LT,1 , v LIO,30-15,3:2,4-0,"Eden Park, Auckland", 
"Sat, 01 Jul 2017",LT,2 ,NZL v ,21-24,0:2,1-4,"Westpac Trust, Wellington", 
"Sat, 08 Jul 2017",LT,3 ,NZL v LIO,15-15,2:0,2-2,"Eden Park, Auckland", 
"Sat, 19 Aug 2017",RC,1 , v ARG,37-15,4:2,4-0,"N. Mandela Bay, Pt Elizabeth", 
"Sat, 19 Aug 2017","RC,BC",n ,AUS v ,34-54,4:8,0-5,"Stadium Australia, Sydney", 
"Sat, 26 Aug 2017",RC, ,ARG v ,23-41,2:5,0-5,Salta, 
